index,x,y,z

0,[],[],[]
16,"[-0.1193848, 0.6098633, 0.942627, -0.6262207, -0.7587891, 0.1560059, -0.7890625, -1.027344, 1.318604, 0.34375, -0.269043, -0.7370605, 0.1481934, 1.052246, 1.22168, 1.210938]","[-0.5183105, -0.7685547, -0.9567871, -0.7165527, -0.7856445, -0.925293, -0.7670898, -0.7231445, -0.7946777, -0.8496094, -0.5563965, -0.6047363, -0.8029785, -0.3864746, -0.09985352, -0.06152344]","[-0.4140625, -0.5151367, -0.04833984, -0.940918, -0.7602539, -0.5275879, -0.802002, -0.9208984, -0.2341309, -1.387939, -0.8066406, -1.017822, -0.4396973, -0.4243164, -0.177002, -0.01074219]"

17,"[0.6901855, -0.4797363, -0.8032227, 0.1074219, 0.6848145, 1.024414, -0.3115234, -1.014404, -0.5336914, 0.2609863, 1.22583, 1.999939, -0.5844727, -0.2263184, 0.1010742, 0.8400879, 0.7104492, 1.187988, 1.236084]","[-0.4782715, -0.6496582, -0.7753906, -0.8259277, -0.8342285, -0.7802734, -0.6530762, -0.6623535, -0.7841797, -0.8776855, -0.9746094, 0.5183105, -0.7211914, -0.8015137, -0.7780762, -0.8605957, -0.9135742, -0.1865234, -0.03735352]","[-0.08325195, -0.8710938, -0.769043, -0.5993652, -0.3046875, -0.154541, -0.9306641, -1.029297, -0.7563477, -0.3803711, 0.02294922, -0.9064941, -0.9040527, -0.7692871, -0.5751953, -0.3400879, -0.2314453, -0.05810547, -0.03027344]"

18,"[1.049316, -0.8945313, 0.3833008, 1.147461, 0.5996094, -0.5224609, -0.8334961, -0.6689453, 0.2114258, 0.9130859, 1.091309, 0.251709, 1.057129, 0.2756348, 0.7351074, 1.092285, 1.104248]","[-0.3493652, -0.7373047, -0.8686523, -1.083984, -1.124023, -0.5910645, -0.7314453, -0.7487793, -0.8398438, -1.015137, -0.4489746, -0.6464844, -0.8977051, -1.701172, -0.5319824, -0.03710938, 0.02929688]","[-0.4086914, -0.7832031, -0.3979492, -0.2470703, -0.2653809, -0.8569336, -0.8864746, -0.6862793, -0.3864746, -0.2150879, -0.671875, -0.8596191, -0.1315918, -0.5766602, -0.9016113, -0.1826172, -0.009033203]"

19,"[0.9492188, 0.2150879, 0.9750977, 0.6542969, -0.7705078, -0.2502441, 0.7429199, 1.151123, 0.1733398, 1.115967]","[-0.2385254, -0.791748, -0.6826172, -0.8933105, -0.7419434, -0.807373, -0.7756348, -0.828125, -1.152344, -0.04467773]","[-0.4555664, -0.4196777, -0.2087402, -0.5314941, -0.8129883, -0.5522461, -0.2836914, -0.1730957, -0.1257324, -0.002685547]"

20,"[0.6787109, -0.7043457, -0.4863281, 0.3024902, -0.1984863, -1.015869, -0.7741699, -0.03320313, -0.7487793, -0.05810547, 0.9448242, 0.09228516, -0.401123, 0.1542969, 1.137939, -0.4887695, -0.6108398, 0.1901855, 1.337158, 1.139404, 1.105957]","[-0.204834, -0.6743164, -0.8012695, -0.829834, -0.6428223, -0.557373, -0.6589355, -0.7575684, -0.5566406, -0.6882324, -1.150635, -0.9289551, -0.6315918, -0.6445313, -0.6682129, -1.558594, -0.453125, -0.5944824, -0.5058594, -0.0703125, -0.05126953]","[-0.4748535, -0.6757813, -0.4008789, -0.4611816, -0.8549805, -0.7414551, -0.8161621, -0.5754395, -1.002441, -0.6071777, -0.1345215, -1.223877, -0.730957, -0.6052246, -0.203125, -1.735107, -1.02417, -0.1311035, -0.140625, -0.1708984, -0.006103516]"

